,projectID,projectAcronym
8196,773067,The insect cochlea
8198,706208,SocParPhenoEvol
8200,704035,MARIPOSAS
8208,708232,SymMech
8215,646625,P450RESIST
8220,658795,DOGMITE
8221,754290,MECH-EVO-INSECT
8225,645636,FlyHigh
8232,792215,CONSENT
8235,771012,TUVOLU
8236,666540,Colodetect
8239,752117,PVMINDS
8248,647596,CapTherPV
8250,655059,PHOEBUS
8252,745304,HTEPV
8257,694202,LHCDMTOP
8258,669240,QUEST
8259,836816,TURANDOT
8262,702287,DalitzCPviolation
8263,779469,Haeolus
8271,786910,DMIDAS
8274,742104,AXION
8275,788781,IAXOplus
8276,725039,HyperMu
8277,763735,inDemand
8290,682237,EvoStruc
8292,769130,BAHAMAS
8293,677368,QUASIFT
8294,771642,SELDOM
8296,705109,N-MuQuaS
8299,758329,AGEnTh
8300,700525,NIOBE
8302,637844,HBQFTNCER
8332,696023,SEAF
8339,789049,MIMAT
8352,638314,MoNaLISA
8354,677696,UNICODE
8356,749510,NucLoc
8357,706714,CONNECT
8360,657331,CaMILLET
8361,789128,SENSATIONAL TETHERS
8362,714023,CrackEpitranscriptom
8363,659025,BAP
8364,682167,VIBRANT-BIO
8365,724022,chromo-SUMMIT
8369,694978,pArg_deg_signal
8378,797372,DeMoMet
8379,764650,OptiMACS
8399,753186,FLEXOBONEGRAFT
8400,700863,IRESCO
8401,707168,MatchForSolar
8402,645993,CO-PILOT
8417,659614,SWITCHCATALYSIS
8418,675919,AdMoRe
8425,689007,EPICEA
8430,648666,COAT
8446,798651,CeramCom
8452,754890,NanoComSol
8453,744914,Solar-Store
8455,722497,LubISS
8471,770453,MIGNEX
8481,749150,quasiTENS
8486,681491,Autocat
8487,657017,LOGIVIS
8488,682474,SOLID
8494,707688,EVNSMAS
8496,704867,CUISINE
8497,742555,OMPorg
8498,676861,LIQUISWITCH
8499,641277,QuProCS
8506,682588,FADAMS
8508,670930,SYNECT
8509,647586,SESE
8510,714697,AtoFun
8511,707252,SpinReMag
8512,752410,CSPIWB
8513,656493,DEGENHA
8547,681422,MetCogCon
8550,638435,GalNUC
8560,799123,SEU-FER
8562,720297,EnzOx2
8572,750640,GaTHeR
8602,637372,CSUMECH
8604,648718,ARTECHNE
8606,754513,AIAS-COFUND II
8610,646489,LuxFaSS
8611,743420,TexMeroe
8614,745869,MYRiCE
8615,703399,ROBUST POLICY
8618,703235,MISWORD
8622,724451,ARTEFACT
8625,659065,INNOVCITIES
8626,704332,GLOBALTOX
8627,705777,Tropical lichens
8629,655331,PALEO-AGRI
8634,659937,AGEISM
8635,844886,MAT-MED in Transit
8637,748645,netdis
8639,660528,distraction
8640,654796,SAAB
8643,677758,CREWS
8649,776691,TWIGA
8666,653260,RESILENS
8680,730814,PLASA
8688,751131,Road Diplomacy
8689,820999,ARCH
8705,660960,NanoERA
8714,733967,CREEV
8720,694476,EMoBookTrade
8757,696140,TrustEE
8765,691527,ShaleSafe
8778,730609,MSLOOP 2.0
8784,727738,MonoDiaL
8803,797977,EUSKOR
8804,730074,SENSAGRI
8814,667942,CySTEM
8816,751159,SRec BIPV
8817,814804,MOF-reactors
8827,647301,DECRESIM
8828,763784,DESIGNSCAPES
8857,724681,S-CAGE
8858,659378,SPIN2D
8859,747599,PerovSAMs
8861,642760,EDEN
8869,804110,2D-PnictoChem
8870,788222,Mol-2D
8896,753636,NOVA
8903,636835,ISOBIO
8917,725271,CARBONICE
8919,752716,SUPER-Lion
8923,660388,CONTESSA
8928,752074,LIGER
8929,678119,SiCMetabol
8932,680241,MolMap
8933,648201,CONCERT
8936,708207,BAYESLAND
8942,746044,MULTICELLEXPEVO
8945,788039,PANELFIT
8961,760994,ENGICOIN
8974,659135,HLQPT
8975,779486,GAMER
9002,727348,SOCRATCES
9020,747637,EVOMA
9021,745722,ISOPARAMETRIC
9022,676541,OpenDreamKit
9039,757829,PETALO
9042,793627,BEMAR
9043,655162,STROMINGER
9065,797188,TreEsilience
9067,732505,LightKone
9077,671093,SynCatMatch
9079,801055,CHIRON
9089,671584,5G NORMA
9103,716136,2O2ACTIVATION
9105,694709,SuperMagnonics
9106,759969,AV-SMP
9108,671680,METIS-II
9146,694807,ENRICO
9147,760150,EPIC
9155,678727,MOTOR
9167,812788,SAS
9184,708832,JHSIGNAL
9196,726049,InPhoTime
9197,727306,BETASCREEN
9210,741366,mtDNA-CURE
9212,656817,RvD3-RAVIS
9213,758705,PROMETHEUS
9215,682663,PreventStoCan
9218,747374,BIRTHBRAZIL
9222,759707,NUCLEAR
9233,724659,MassiveCosmo
9234,658563,FlexCHIC
9235,657599,HOTSPOT
9236,639750,VIBCONTROL
9238,772080,AFIRMATIVE
9239,702981,SYNERGINFO
9249,642458,MUSICARE
9266,747319,NANO-DIELECTRICS
9294,753597,SARSESNA
9365,777740,FunFiCO
9395,750871,HGRF-IFIC
9507,755719,MINDTOMIND
9508,739607,MW-R
9509,705295,Multi-time Integral Eqs.
9514,714118,TRAPLAB
9516,695677,QED-PROTONSIZE
9518,716651,NEDM
9521,679949,SDDM-TEA
9522,792862,FunGraW
9524,681260,ExtremeQuantum
9528,678148,ComplexSex
9531,715311,bioPCET
9534,724320,ULTIMATE
9541,771049,FREEDLES
9559,742204,ROCKY
9561,706274,AS-ABA
9562,647981,3DSPIN
9566,815379,AutoCAb
9567,798245,PATCHES
9568,716864,DADIYSO COMP
9575,765472,N2N
9590,734156,BAMOS
9601,755068,OPTIMOrph
9603,821019,ProTHiC
9607,723309,NHYTE
9615,680263,NanoFab2D
9663,778553,TRIBLADE
9699,789598,ADAPTEM
9711,675806,5G-AURA
9720,678309,MagnonCircuits
9743,761072,DACOMAT
9757,668036,RELENT
9772,709841,HEASIT
9773,638988,G4DSB
9788,668031,GALAXY
9801,690367,POLYCARE
9819,874758,NSC-Reconstruct
9861,721367,HONOURs
9874,678071,ProNeurons
9876,814168,GROWTH
9885,115976,PHAGO
9912,737929,Cold Energy
9921,696376,SPS_TFP_SQ
9925,699390,Vista
9967,788918,Topics in Behavioral
9970,693623,ART
9975,699249,COMPAIR
9987,715730,MiTopMat
9991,689518,MERCES
10036,665906,FoTRRIS
10070,637760,LITTLE TOOLS
10080,704261,globalfertilitychain
10088,649489,SOLIDUS
10102,700395,HERACLES
10118,748114,EaRL
10119,751924,ConscriptedVolunteer
10126,682982,MO-TRAYL
10128,704633,QUMEC
10129,653866,WOSCAP
10139,649532,EMU Choices (former EMU_SCEUS)
10149,726840,TROPICO
10173,687967,ChainReact
10180,787289,GRECO
10192,710566,MARINA
10231,726992,KNOWMAK
10266,693523,UNREST
10282,730882,SET Plan 2016-CEEC X
10298,740191,CROWD_USG
10299,821471,ENGAGE
10327,637695,HInDI
10331,747877,D BIOME
10332,753815,WorldlyMatter
10333,745584,INSPIrE
10335,659660,Transpacific
10340,647514,HISTROOTS
10342,826347,MOVINGRAIL
10354,674200,PlugBioIn
10369,747947,EU-Drones
10390,762079,Immersify
10414,649639,EnPC-INTRANS
10424,817991,BIPVBOOST
10451,641625,POSITION
10503,788247,GRIFFIN
10515,657227,DoRoThy
10516,778043,PRO GAIT
10524,746993,RoboCat
10525,857061,R2P2
10537,692427,STRONGMAR
10543,771687,CORNEA
10544,730035,SIROM
10557,703493,NEUROBUKIMI
10558,844696,H. Pylori-Scopy
10561,714048,ERNCIP CBRNE STDS 16
10563,748760,TF-bind Determinants
10570,812867,VitaminBlock
10571,657990,EM-Pillars
10572,704724,THERMCP
10575,724863,ZIPgeting
10578,649124,Phosphoprocessors
10581,690674,FUCAM
10607,825081,COMPRISE
10616,723710,vf-OS
10641,731893,PRODUCER
10653,682467,MoralisingMisfortune
10663,658825,jamclay
10664,653284,GelSwimming
10665,679479,EPITOOLS
10670,700124,PyroPhosphoProtein
10671,645238,TRANSLITERACY
10682,116019,RESCEU
10704,695481,MOR-PHON
10706,634143,MedBioinformatics
10716,659700,SCME
10717,642793,MULTI-APP
10726,794750,ThermOutOfEq
10739,752180,QUSON
10743,740900,LogCorRM
10746,727292,NIBEA
10750,694189,CANDICE
10751,688110,CAPTOR
10760,657111,CompositeSPTphases
10788,821875,SESAME
10797,723596,Innova MicroSolar
10810,636281,MASAI
10815,679747,COMPLEXITY
